Symbol,Name,Sector,Price,52 Week High,52 Week Low,Dividend Yield,Earnings per Share,Sales per Share,Book Value per Share,EBITDA,Market Cap
DWDP,DowDuPont,Materials,68.21,77.08,64.01,2.1529746,1.59,25.33578458,44.29220779,5250000000,1.65E+11
NSC,Norfolk Southern Corp.,Industrials,136.89,157.1499,109.27,2.018503,18.73,35.53193347,44.30097087,4737000000,40543547441
VLO,Valero Energy,Energy,86.77,99.95,60.69,3.5618877,9.24,206.0106583,44.95854922,5401000000,39312309113
PNW,Pinnacle West Capital,Utilities,74.34,92.48,73.81,3.698776,3.95,24.83695362,45.05454545,1614399000,8397609889
CMA,Comerica Inc.,Financials,89.18,98.18,64.04,1.2823253,4.13,18.1796981,45.5,0,16274969256
APD,Air Products & Chemicals Inc,Materials,152.8,175.17,133.6301,2.7811136,13.66,37.12009929,45.6119403,2542500000,34638387128
SWK,Stanley Black & Decker,Consumer Discretionary,152.86,176.62,121.09,1.5775635,8.05,78.61854371,45.76646707,2264600000,24496399600
UNH,United Health Group Inc.,Health Care,216.46,250.79,156.49,1.3284917,10.71,198.5267601,45.95753715,17454000000,2.19E+11
HIG,Hartford Financial Svc.Gp.,Financials,53.34,59.2,46.35,1.7901897,2.27,38.26525671,46.3826087,0,19926305632
KHC,Kraft Heinz Co,Consumer Staples,71.58,97.77,72.05,3.3990483,2.81,15.30113185,46.48051948,7832000000,89618309338
ETR,Entergy Corp.,Utilities,72.02,87.95,69.63,4.892126,-3.26,46.33562835,46.76623377,880700000,13116894887
AET,Aetna Inc,Health Care,178,194.4,119.51,1.101989,5.75,179.3713658,46.96569921,4139000000,59197016353
ED,Consolidated Edison,Utilities,74.73,89.7,72.63,3.8001595,4.1,25.24454065,47.29746835,4288000000,23335777662
STI,SunTrust Banks,Financials,65.8,72.06,51.96,2.3185046,4.48,19.88549521,47.68115942,0,32498948310
RCL,Royal Caribbean Cruises Ltd,Consumer Discretionary,122.45,135.65,93.4,1.8674136,7.53,39.46612152,47.83203125,2876309000,27418147452
ZBH,Zimmer Biomet Holdings,Health Care,115.53,133.49,108.17,0.7948336,9.01,36.50357723,48.33891213,2007400000,24454698119
SNA,Snap-On Inc.,Consumer Discretionary,156.72,185.47,140.83,1.968433,9.2,44.63073746,48.82242991,982200000,9499107736
DTE,DTE Energy Co.,Utilities,98.49,116.74,96.56,3.5559585,4.82,51.58726293,50.50769231,2790000000,17808073691
STT,State Street Corp.,Financials,98.54,114.27,75.27,1.6228749,5.23,30.19853684,50.53333333,0,38059113300
UHS,"Universal Health Services, Inc.",Health Care,114.87,129.74,95.26,0.34153005,7.14,87.29610959,51.97737557,1676204000,11116075286
MET,MetLife Inc.,Financials,44.28,56.58,44.58,3.4587116,0.63,42.18402753,52.09411765,0,48679364276
AVGO,Broadcom,Information Technology,229.57,285.68,202.61,2.9488583,4.01,32.97522671,52.175,7016000000,92791974933
SRE,Sempra Energy,Utilities,103.36,122.975,100.63,3.1607263,5.45,32.78116605,52.2020202,3763000000,26163862235
NEE,NextEra Energy,Utilities,145.29,159.64,124.18,2.6537917,11.39,35.50848572,52.83272727,9018000000,69661177770
BDX,Becton Dickinson,Health Care,211.44,248.3888,175.66,1.3518385,4.65,37.15147627,53.12562814,1537000000,50910180308
MAA,Mid-America Apartments,Real Estate,85.39,110.95,86.95,4.19652,2.86,12.88107034,53.36875,871483000,9992628990
CXO,Concho Resources,Energy,140.09,162.91,106.73,0,-11.04,11.41546279,53.6743295,2151190000,22021882339
ALL,Allstate Corp,Financials,90.06,105.36,77.73,1.5278208,4.68,74.51870646,53.92814371,0,34759468905
L,Loews Corp.,Financials,46.05,53.59,45.01,4.5131636,1.93,29.12757505,54.17647059,0,16111166935
AFL,AFLAC Inc,Financials,83.25,91.73,68.8,2.4299066,11.01,53.95563156,54.41176471,0,33422948000
REGN,Regeneron,Health Care,322.62,543.5518,319.5,0,7.74,38.02055528,54.77419355,2043160000,35950369241
EVHC,Envision Healthcare,Health Care,35.34,73,23.77,0,-0.48,28.7996323,55.21875,827200000,4212729247
ARE,Alexandria Real Estate Equities Inc,Real Estate,114.58,134.37,106.89,3.0262272,1.57,10.92054016,55.352657,0,12043374429
TAP,Molson Coors Brewing Company,Consumer Staples,74.51,102.14,75.79,2.1533613,9.27,60.22619053,55.60447761,4708400000,12396862128
AMZN,Amazon.com Inc,Consumer Discretionary,1350.5,1498,812.5,0,6.16,343.8965555,55.62191104,16132000000,6.86E+11
CI,CIGNA Corp.,Health Care,189.27,227.13,141.93,0.020466639,7.2,122.0496762,55.83185841,0,47680910480
MCK,McKesson Corp.,Health Care,150.23,178.86,133.82,0.8898776,22.74,980.7021091,56.05597015,7232000000,31534840262
BIIB,Biogen Inc.,Health Care,311.79,370.57,244.28,0,11.94,54.34306143,56.5862069,6511400000,69157726427
ANDV,Andeavor,Energy,96.9,121.71,75.11,2.3454583,6.13,146.4152072,57,2548000000,15696449735
DUK,Duke Energy,Utilities,74.32,91.8,72.93,4.7849464,3.12,25.32296232,58.51968504,9895000000,52078185682
TMO,Thermo Fisher Scientific,Health Care,198.73,226.44,151.69,0.3276319,5.6,49.48867759,58.79585799,4751300000,83226586345
CME,CME Group Inc.,Financials,153.04,163,114.8176,3.6828613,11.94,10.28369809,60.97211155,2851800000,54423298745
LH,Laboratory Corp. of America Holding,Health Care,165.46,181.715,130.292,0,7.02,73.66997773,61.05535055,1861200000,17271388000
PXD,Pioneer Natural Resources,Energy,169.16,199.83,125.46,0.1816118,-3.39,24.91660207,61.28985507,1717000000,29983119693
ROP,Roper Technologies,Industrials,259.4,290.415,191.22,0.61985797,9.38,43.43901344,61.32387707,1555209000,27247789759
FDX,FedEx Corporation,Industrials,239.27,274.66,182.89,0.7963368,11.07,222.5418827,61.35128205,8062000000,67280478816
AMG,Affiliated Managers Group Inc,Financials,179.11,216.995,148.81,0.6387395,12.07,39.01128999,61.97577855,1261400000,10442174371
COO,The Cooper Companies,Health Care,223.17,256.39,187.02,0.026033757,7.52,32.56127782,62.51260504,615700000,11297958140
SJM,JM Smucker,Consumer Staples,118.37,143.68,99.565,2.6036885,5.1,47.41101873,62.96276596,1411300000,13612394896
LLL,L-3 Communications Holdings,Industrials,198.79,218.705,159.43,1.4444605,8.51,133.5541073,63.71474359,1137000000,16229343134
WHR,Whirlpool Corp.,Consumer Discretionary,164.95,202.99,158.8,2.5652986,4.51,284.0791912,64.18287938,1842000000,12177920000
CVX,Chevron Corp.,Energy,112.3,133.88,102.55,3.885853,4.85,68.10244573,65.67251462,28877000000,2.19E+11
PVH,PVH Corp.,Consumer Discretionary,142.68,157.96,84.53,0.100529455,6.77,80.98755319,66.6728972,1057500000,11478625926
JPM,JPMorgan Chase & Co.,Financials,107.88,117.3529,81.635,1.9845841,6.3,31.99763381,67.425,0,3.87E+11
SLG,SL Green Realty,Real Estate,90.61,115.34,91.2,3.4998922,0.88,13.76631485,68.64393939,795889000,8617714345
MLM,Martin Marietta Materials,Materials,208.42,244.32,191.09,0.8042038,6.63,47.18589413,68.78547855,975223000,13756812736
LNC,Lincoln National,Financials,73.86,86.68,61.45,1.6813145,9.24,61.45045027,71.01923077,0,17123031000
WLTW,Willis Towers Watson,Financials,152.36,165,120.869,1.347058,3.07,44.18195996,72.55238095,1440000000,20780269334
AVB,"AvalonBay Communities, Inc.",Real Estate,154.94,199.52,156.01,3.7149355,6.36,15.11430449,73.08490566,1331579000,21856547430
AIZ,Assurant Inc,Financials,85.16,106.985,85.91,2.5313594,9.08,86.70450198,76.03571429,0,4653993594
AIG,"American International Group, Inc.",Financials,58.28,67.3,57.85,2.1167521,-0.76,39.68260453,77.70666667,0,54360073164
HUM,Humana Inc.,Health Care,262.37,293.35,189.01,0.6040015,4.06,283.4319715,78.78978979,0,36973617235
EQIX,Equinix,Real Estate,409.98,495.345,361.9,1.8775817,1.77,38.53508405,79.76264591,1687152000,33333813618
C,Citigroup Inc.,Financials,71.87,80.7,56.14,1.7068943,-3.1,32.8810327,79.85555556,0,1.93E+11
TRV,The Travelers Companies Inc.,Financials,135.01,150.55,113.76,2.0261714,7.31,101.2205545,82.82822086,0,38903131815
MHK,Mohawk Industries,Consumer Discretionary,256.57,286.85,209.9,0,12.48,91.70477304,89.08680556,1750393000,19897356456
ESS,"Essex Property Trust, Inc.",Real Estate,218.28,270.04,214.03,3.2138102,6.27,15.39016425,94.90434783,1237886000,14383525286
PNC,PNC Financial Services,Financials,149.38,160.07,115.25,1.9354838,10.4,36.91557952,97.63398693,0,73315000000
COF,Capital One Financial,Financials,91.8,106.5,76.05,1.6306564,3.45,57.62203647,97.65957447,0,47637260000
MTB,M&T Bank Corp.,Financials,178.35,193.85,141.12,1.6218846,8.69,38.53892631,99.63687151,0,27840827434
ANTM,Anthem Inc.,Health Care,230.57,267.95,156.81,1.2581781,14.36,344.3131142,101.127193,0,61221978627
